7712804,736036,1979740,1568540
7712804,709756,1979752,1591900
7712804,760120,1979768,1580056
7712804,758228,1979780,1585920
7712804,756928,1979848,1595464
7712804,746148,1979860,1606452
7712804,735376,1979836,1617640
7712804,721380,1979888,1631184
7712804,716564,1979928,1635800
7712804,704248,1979916,1649400
7712804,691076,1979856,1662392
7712804,681892,1979872,1670724
7712804,671692,1979884,1681948
7712804,647712,1979888,1705152
7712804,634188,1979904,1716932
7712804,622276,1979876,1728248
7712804,613080,1992048,1732096
7712804,602884,1992076,1744976
7712804,591296,1992156,1753344
7712804,591124,1992176,1759120
7712804,592932,1992484,1764852
7712804,591332,1992564,1760692
7712804,578944,1992592,1773116
7712804,564792,1992600,1785808
7712804,542784,1992628,1807636
7712804,538048,1992940,1818632
7712804,521180,1992924,1830792
7712804,511540,1992936,1839988
7712804,504800,1992936,1845072
7712804,499652,1992920,1856268
7712804,483044,1992916,1869676
7712804,465464,1992948,1885208
7712804,453636,1992968,1896552
7712804,441752,1992972,1907556
7712804,437108,1992988,1919420
7712804,420484,1992972,1931600
7712804,413580,1992964,1936576
7712804,390708,1992992,1959060
7712804,784568,1993016,1567688
7712804,766044,1993000,1572032
7712804,737900,1993004,1573360
7712804,737316,1993640,1571396
7712804,743628,1993020,1574436
7712804,746968,1993056,1570464
